,result,text,clean
51,Neutral,Ganjar Pranowo Diangkat Jadi Warga Kehormatan Adat Dayak Kenyah https://t.co/fgh7YsfYcb,ganjar pranowo diangkat jadi warga kehormatan adat dayak kenyah 
52,Neutral,"@Melihat_Indo Inovasi terus berkembang di bawah kepemimpinan Ganjar, membawa solusi kreatif untuk perkembangan daerah.", melihat_indo inovasi terus berkembang di bawah kepemimpinan ganjar membawa solusi kreatif untuk perkembangan daerah 
53,Neutral,@Dennysiregar7 2024 semoga Pak Ganjar menjadi presiden untuk membenahi demokrasi yang rusak, dennysiregar semoga pak ganjar menjadi presiden untuk membenahi demokrasi yang rusak
54,Positive,Semangat selalu pak Ganjar dukungan terus mengalir untuk kemenangan Ganjar Mahfud,semangat selalu pak ganjar dukungan terus mengalir untuk kemenangan ganjar mahfud
55,Positive,@ganjarpranowo Keren banget sih pak ganjar emang, ganjarpranowo keren banget sih pak ganjar emang
56,Positive,@ganjarpranowo Keren banget program pak Ganjar mah enggak perlu diragukan lagi, ganjarpranowo keren banget program pak ganjar mah enggak perlu diragukan lagi
57,Positive,@ganjarpranowo Luar biasa ni antusias para pedagang menyambut kedatangan pak ganjar bersama pak ganjar harga sembako insyaallah akan di stabilisasi, ganjarpranowo luar biasa ni antusias para pedagang menyambut kedatangan pak ganjar bersama pak ganjar harga sembako insyaallah akan di stabilisasi
58,Positive,@Melihat_Indo Dimana pun pak Ganjar berada selalu mendapatkan dukungan dan kehormatan selamat ya pak Ganjar orang baik akan selalu di terima dengan baik ., melihat_indo dimana pun pak ganjar berada selalu mendapatkan dukungan dan kehormatan selamat ya pak ganjar orang baik akan selalu di terima dengan baik 
59,Positive,@ganjarpranowo Hanya program dan visi misi dari Pak Ganjar lah yang terlihat rasional, ganjarpranowo hanya program dan visi misi dari pak ganjar lah yang terlihat rasional
60,Positive,@ganjarpranowo Saya akan selalu mendukung dan percaya kepada pak ganjar, ganjarpranowo saya akan selalu mendukung dan percaya kepada pak ganjar
61,Neutral,@RizkiR4madani Pagi🤟, rizkir madani pagi 
62,Positive,@NanangAR1f1n Keberanian Alam Ganjar membuktikan bahwa batas usia bukanlah halangan untuk meraih kesuksesan @doyoktana  AlamJelajahSulsel, nanangar n keberanian alam ganjar membuktikan bahwa batas usia bukanlah halangan untuk meraih kesuksesan doyoktana alamjelajahsulsel
63,Positive,@ganjarpranowo Pak ganjar adalah pilihan terbaik untuk negara Indonesia kita, ganjarpranowo pak ganjar adalah pilihan terbaik untuk negara indonesia kita
64,Positive,@ganjarpranowo Alhamdulillah program program pak Ganjar terus berjalan, ganjarpranowo alhamdulillah program program pak ganjar terus berjalan
65,Negative,@kangdede78 https://t.co/v3ej5S2KZ1  Dari pada loe Jelekin Pa Ganjar...   Loe coba tanggapi deh yg ini🙏🏻  Narasi perubahan itu banyak juga di senangi masyarakat loh Pak Komisaris  https://t.co/v3ej5S2KZ1, kangdede dari pada loe jelekin pa ganjar loe coba tanggapi deh yg ini narasi perubahan itu banyak juga di senangi masyarakat loh pak komisaris 
66,Neutral,@ganjarpranowo Kiita emang butuh sosok pemimpin yg seperti pak ganjar 🥰, ganjarpranowo kiita emang butuh sosok pemimpin yg seperti pak ganjar 
67,Neutral,@Dennysiregar7 Ayo pilih Pak Ganjar agar konstitusi tegak lurus kembali, dennysiregar ayo pilih pak ganjar agar konstitusi tegak lurus kembali
68,Positive,@ganjarpranowo Indonesia akan menuju masa kejayaan dengan pak ganjar, ganjarpranowo indonesia akan menuju masa kejayaan dengan pak ganjar
69,Positive,@tvOneNews Wah mantap nih program pak Ganjar - Mahfud, tvonenews wah mantap nih program pak ganjar mahfud
70,Positive,"100% 👍            TERIMA KASIH ""  SELURUH  WARGA MASYARAKAT  KALIMANTAN TIMUR  ATAS  DUKUNGAN NYA  KEPADA  PAK GANJAR PRANOWO  PAK MAHFUD MD""", terima kasih seluruh warga masyarakat kalimantan timur atas dukungan nya kepada pak ganjar pranowo pak mahfud md 
71,Negative,"@StefanAntonio__ @sigitwid @mulfridasirait Anda ngetik begitu krn dia bukan wakil Ganjar toh 🙃, dan krn bapaknya belain jagoan anda 🙃.....", stefanantonio__ sigitwid mulfridasirait anda ngetik begitu krn dia bukan wakil ganjar toh dan krn bapaknya belain jagoan anda 
72,Positive,@ganjarpranowo Mantap pak Ganjar mahfud Gaaspool, ganjarpranowo mantap pak ganjar mahfud gaaspool
73,Positive,@ganjarpranowo Emang terbaik sih pak ganjar selalu mengerti rakyat 🥰, ganjarpranowo emang terbaik sih pak ganjar selalu mengerti rakyat 
74,Neutral,@Melihat_Indo InsyaAllah pak ganjar dapat suara banyak dari luar pulau Jawa, melihat_indo insyaallah pak ganjar dapat suara banyak dari luar pulau jawa
75,Negative,"@are_inismyname Keinginan IKN sdh ada sejak Soekarno apalagi sekarang sdh ada UUnya. Setiap Presiden terpilih wajib lanjutkan IKN. Dari awal Ganjar komitmen lanjutkan IKN. Komitmen melaksanakan UU knp harus jilat ludah sendiri??? Lanjutkan yg baik, benahi yg salah.", are_inismyname keinginan ikn sdh ada sejak soekarno apalagi sekarang sdh ada uunya setiap presiden terpilih wajib lanjutkan ikn dari awal ganjar komitmen lanjutkan ikn komitmen melaksanakan uu knp harus jilat ludah sendiri lanjutkan yg baik benahi yg salah 
76,Positive,@NanangAR1f1n Setiap prestasi Alam Ganjar adalah bukti bahwa tidak ada batasan untuk mewujudkan impian @EchanBears  AlamJelajahSulsel, nanangar n setiap prestasi alam ganjar adalah bukti bahwa tidak ada batasan untuk mewujudkan impian echanbears alamjelajahsulsel
77,Positive,@ganjarpranowo Indonesia pastinya akan jauh lebih maju karena pak ganjar, ganjarpranowo indonesia pastinya akan jauh lebih maju karena pak ganjar
78,Positive,@Melihat_Indo Semakin banyak dukungan pastinya banyak masyarakat yang mendukung Apalagi setelah Pak Ganjar diangkat sebagai warga kehormatan oleh suku adat Dayak, melihat_indo semakin banyak dukungan pastinya banyak masyarakat yang mendukung apalagi setelah pak ganjar diangkat sebagai warga kehormatan oleh suku adat dayak
79,Neutral,@ganjarpranowo Pemimpin solutif yang kami nantikan. Ada pada pak Ganjar Pranowo, ganjarpranowo pemimpin solutif yang kami nantikan ada pada pak ganjar pranowo
80,Negative,"@Anak__Ogi Suharto sukses yg dihancurkan PKI tak bertuhan.   Yg kali ini salah sasaran, krn Siapa Ganjar, dia menantu kiyai. Gunakan black campaign apapun nggak bakalan tembus. Apalagi dialamatkan thd ibu Atiqah isteri Ganjar, yg nota bene anak Kiyai.   Nggak tahu kl ibu suri yg disana itu", anak__ogi suharto sukses yg dihancurkan pki tak bertuhan yg kali ini salah sasaran krn siapa ganjar dia menantu kiyai gunakan black campaign apapun nggak bakalan tembus apalagi dialamatkan thd ibu atiqah isteri ganjar yg nota bene anak kiyai nggak tahu kl ibu suri yg disana itu
81,Positive,@ganjarpranowo Masyarakat Indonesia pastinya akan terus mendukung pak ganjar, ganjarpranowo masyarakat indonesia pastinya akan terus mendukung pak ganjar
82,Positive,@Melihat_Indo Luar bisa sekali pak Ganjar dapat kehormatan dari suku adat dayak selamat nggeh pak .., melihat_indo luar bisa sekali pak ganjar dapat kehormatan dari suku adat dayak selamat nggeh pak 
83,Positive,@tvOneNews Mantap nih pak Ganjar sowan ke kesultanan, tvonenews mantap nih pak ganjar sowan ke kesultanan
84,Positive,@ganjarpranowo Pak Ganjar selalu punya cara asik untuk mendengarkan aspirasi kita, ganjarpranowo pak ganjar selalu punya cara asik untuk mendengarkan aspirasi kita
85,Neutral,@officialinews_ rakyat siap kawal Ganjar mahfud 🤟, officialinews_ rakyat siap kawal ganjar mahfud 
86,Neutral,@Dennysiregar7 Semoga di kepemimpinan Pak Ganjar nanti demokrasi kembali stabil, dennysiregar semoga di kepemimpinan pak ganjar nanti demokrasi kembali stabil
87,Positive,@ganjarpranowo Wah senang sekali melihat program pak Ganjar yang mengubah kita ke depannya, ganjarpranowo wah senang sekali melihat program pak ganjar yang mengubah kita ke depannya
88,Neutral,@tvOneNews Bismillah menang pak Ganjar - Mahfud🔥🔥🔥, tvonenews bismillah menang pak ganjar mahfud 
89,Neutral,"@SINDOnews @ganjarpranowo Teruntuk bapak Ganjar tetap maju jangan goyah pak,kami akan selalu kawal dan dukung GaMa untuk Indonesia 🔥", sindonews ganjarpranowo teruntuk bapak ganjar tetap maju jangan goyah pak kami akan selalu kawal dan dukung gama untuk indonesia 
90,Neutral,"@ganjarpranowo Pertemuan yang membuka solusi, Diskusi bersama Ganjar Pranowo.", ganjarpranowo pertemuan yang membuka solusi diskusi bersama ganjar pranowo 
91,Positive,@ganjarpranowo Interaksi manis pak ganjar dengan masyarakat sangat keren, ganjarpranowo interaksi manis pak ganjar dengan masyarakat sangat keren
92,Negative,"@temanduit @deddysitorus @jokowi @puanmaharani_ri Ya itu,, gegara GIBRAN menolak pinangan @puanmaharani_ri   Jadi tidak heran jika @deddysitorus  kader @PDI_Perjuangan teriak teriak seperti cacing tanah yg kehilangan kepala  Itu semua akibat kesombongan Mega dan Kejahatan GANJAR PEMBAWA SIAL PDIP serta para Buzzer Sendiri", temanduit deddysitorus jokowi puanmaharani_ri ya itu gegara gibran menolak pinangan puanmaharani_ri jadi tidak heran jika deddysitorus kader pdi_perjuangan teriak teriak seperti cacing tanah yg kehilangan kepala itu semua akibat kesombongan mega dan kejahatan ganjar pembawa sial pdip serta para buzzer sendiri
93,Positive,@NanangAR1f1n Keberhasilan Alam Ganjar menjadi inspirasi positif bagi anak-anak muda Makassar yang bermimpi besar @DinosaurId  AlamJelajahSulsel, nanangar n keberhasilan alam ganjar menjadi inspirasi positif bagi anak anak muda makassar yang bermimpi besar dinosaurid alamjelajahsulsel
94,Positive,@Melihat_Indo semoga pak ganjar bisa terus berkunjung ke sini nantinya yaa pak, melihat_indo semoga pak ganjar bisa terus berkunjung ke sini nantinya yaa pak
95,Neutral,@ganjarpranowo Dinanti solusi pak Ganjar. Semoga m3nang, ganjarpranowo dinanti solusi pak ganjar semoga nang
96,Neutral,"Coba kalo ini diterapin di indo, ganjar plonga plongo #ganja",coba kalo ini diterapin di indo ganjar plonga plongo ganja
97,Positive,"@ganjarpranowo Aminn,, Semoga sukses untuk pak Ganjar Pranowo.", ganjarpranowo aminn semoga sukses untuk pak ganjar pranowo 
98,Neutral,@Melihat_Indo Prosesi penyematan Ganjar Pranowo sebagai warga kehormatan Suku Adat Dayak Kalimantan Timur dilakukan secara sakral, melihat_indo prosesi penyematan ganjar pranowo sebagai warga kehormatan suku adat dayak kalimantan timur dilakukan secara sakral
99,Positive,@ganjarpranowo Pak ganjar pasti akan  menjadi presiden yang sangat hebat, ganjarpranowo pak ganjar pasti akan menjadi presiden yang sangat hebat
100,Neutral,@kumparan Menangkan Ganjar mahfudd🤟🤟🤟, kumparan menangkan ganjar mahfudd 
101,Neutral,@Ganjar_Mahfud03 Pagi juga @Ganjar_Mahfud03 ☕☕❤, ganjar_mahfud pagi juga ganjar_mahfud 
102,Negative,"@Chaves1305 Pada panik pendukungnya anis ganjar, ya memang tidak ada.dari mutiara Annisa gede dan zinedine alam gede juga gak ada😀🤣😁😆", chaves pada panik pendukungnya anis ganjar ya memang tidak ada dari mutiara annisa gede dan zinedine alam gede juga gak ada 
103,Positive,@ganjarpranowo Dengan kebaikan pak ganjar masyarakat akan terus mendukung beliau, ganjarpranowo dengan kebaikan pak ganjar masyarakat akan terus mendukung beliau
104,Neutral,"@Chaves1305 Anies dan ganjar kampanye mulai 28 November 2023 , kalau prabowo kampanye mulai 2 juni 2009 😁😁😁", chaves anies dan ganjar kampanye mulai november kalau prabowo kampanye mulai juni 
105,Positive,@ganjarpranowo Alhamdulillah warga masyarakat senang menyambut  pa ganjar, ganjarpranowo alhamdulillah warga masyarakat senang menyambut pa ganjar
106,Neutral,"@Kanseulir Wapresnya muhaimin, kader NU... Caprenya ganjar, doyan nonton bokeppp...🤭🤭🤭🤭🤭🤭🤭  Wiss angelll....😂😄😂😄😂😄", kanseulir wapresnya muhaimin kader nu caprenya ganjar doyan nonton bokeppp wiss angelll 
107,Neutral,"@BerrySilalahi65 @PDI_Perjuangan Kata pendukung Ganjar ini, kok debat tvone semalam adalah persyaratan KPU, apa benar Lae @deddysitorus ?", berrysilalahi pdi_perjuangan kata pendukung ganjar ini kok debat tvone semalam adalah persyaratan kpu apa benar lae deddysitorus 
108,Positive,@ganjarpranowo Mantap apk ganjar pemimpin yang dibutuhkan semua kalangan masyarakat mengerti apa yg jadi kebutuhan masyarakat, ganjarpranowo mantap apk ganjar pemimpin yang dibutuhkan semua kalangan masyarakat mengerti apa yg jadi kebutuhan masyarakat
109,Positive,"@NanangAR1f1n Alam Ganjar, bukan hanya bintang bisnis, tapi juga pembawa semangat positif bagi pemuda Makassar @doyoungqi  AlamJelajahSulsel", nanangar n alam ganjar bukan hanya bintang bisnis tapi juga pembawa semangat positif bagi pemuda makassar doyoungqi alamjelajahsulsel
110,Neutral,"@Dennysiregar7 Dukungan untuk Ganjar Mahfud semakin banyak, maju terus sampai menang", dennysiregar dukungan untuk ganjar mahfud semakin banyak maju terus sampai menang
111,Positive,@ganjarpranowo Masya Allah bangga banget bisa dukung pak Ganjar dekat dengan masyarakat, ganjarpranowo masya allah bangga banget bisa dukung pak ganjar dekat dengan masyarakat
112,Positive,@ganjarpranowo Keren banget pak ganjar yang turun secara langsung ke dalam masyarakat, ganjarpranowo keren banget pak ganjar yang turun secara langsung ke dalam masyarakat
113,Positive,@Melihat_Indo Diangkat sebagai warga kehormatan nih bener2 suatu kehormatan tersendiri buat oak ganjar sih ya, melihat_indo diangkat sebagai warga kehormatan nih bener suatu kehormatan tersendiri buat oak ganjar sih ya
114,Positive,@ganjarpranowo Indonesia pasti bakal lebih besar dan maju dengan adanya pak ganjar, ganjarpranowo indonesia pasti bakal lebih besar dan maju dengan adanya pak ganjar
