,result,text,clean
21,Neutral,"@Resty_J_Cayah Saya juga dua kali pilih Prabowo Subianto,bahkan hampir 3 kali sebelum ambil Gibran jadi cawapres,saya putuskan sekeluarga milih pak Anies", resty_j_cayah saya juga dua kali pilih prabowo subianto bahkan hampir kali sebelum ambil gibran jadi cawapres saya putuskan sekeluarga milih pak anies
22,Positive,@Metro_TV @aniesbaswedan Keren jawabannya pak anies, metro_tv aniesbaswedan keren jawabannya pak anies
23,Positive,@tvOneNews Sukses selalu untuk Pak Anies Baswedan, tvonenews sukses selalu untuk pak anies baswedan
24,Neutral,"@genx36545403 @prabowo @gibran_tweet @jokowi @alextham878 @Alie_Fahnoor @AlmaghribiS @AndreasSolusi @are_inismyname @BANGSAygSUJUD @Bank_Joee_ @bengkeldodo @Chaves1305 @florieliciouss Banyak anak muda yang ke Anies Juga , lbh banyak hahaha", genx prabowo gibran_tweet jokowi alextham alie_fahnoor almaghribis andreassolusi are_inismyname bangsaygsujud bank_joee_ bengkeldodo chaves florieliciouss banyak anak muda yang ke anies juga lbh banyak hahaha
25,Neutral,@NenkMonica @gibran_tweet @tvOneNews Seandainya bkn nasdem yg bawa misal gerindra.. anies ini lebih pnya chance menang.. sdh g pcya dgn nasdem.., nenkmonica gibran_tweet tvonenews seandainya bkn nasdem yg bawa misal gerindra anies ini lebih pnya chance menang sdh pcya dgn nasdem 
26,Negative,Dulu wkt pilkada dki sama ahok didukung istana n semua parpol besar n oligarchy n surveRP yg pollingnya Anies sll plg jeblog mrk sll bertipudaya tp tipudaya Allah SWT yg plg canggih dg bukti Anies menang,dulu wkt pilkada dki sama ahok didukung istana semua parpol besar oligarchy surverp yg pollingnya anies sll plg jeblog mrk sll bertipudaya tp tipudaya allah swt yg plg canggih dg bukti anies menang
27,Negative,@CNNIndonesia Ketampanan pak Anies tidak ada duanya, cnnindonesia ketampanan pak anies tidak ada duanya
28,Positive,"@keuangannews_id Pak anies sangat cocok untuk memimpin bangsa ini,karna pak anies pemimpin terbaik sepanjang masa", keuangannews_id pak anies sangat cocok untuk memimpin bangsa ini karna pak anies pemimpin terbaik sepanjang masa
29,Positive,"@BangPino__ gue paham sama masnya karna kl ga dilanjut dan berpotensi mangkrak, jadi sayang bgt ga sih lahan yg udah digarap di sana? makanya dia mastiin dgn nanya cara batalinnya gimana atau kalo dihold dulu, apa bisa dipastiin itu ga jd program mangkrak? tp kerenlah pak anies bs sabar wkwk", bangpino__ gue paham sama masnya karna kl ga dilanjut dan berpotensi mangkrak jadi sayang bgt ga sih lahan yg udah digarap di sana makanya dia mastiin dgn nanya cara batalinnya gimana atau kalo dihold dulu apa bisa dipastiin itu ga jd program mangkrak tp kerenlah pak anies bs sabar wkwk
30,Positive,@KompasTV Emah hebat pak Anies, kompastv emah hebat pak anies
31,Negative,"@Chaves1305 desak Anies Banjarmasin"" Lu perhatiin deh apa yg udah Anies lakukan... Dasar bani kepala kopong yang ditaburi asam sulfat""", chaves desak anies banjarmasin lu perhatiin deh apa yg udah anies lakukan dasar bani kepala kopong yang ditaburi asam sulfat 
32,Positive,@tvOneNews Dukung selalu pak anies, tvonenews dukung selalu pak anies
33,Positive,@Tan_Mar3M Muantap sukses selalu buat Anies Rasyid Baswedan menjadi presiden Indonesia ditahun yang akan datang toyyiban, tan_mar muantap sukses selalu buat anies rasyid baswedan menjadi presiden indonesia ditahun yang akan datang toyyiban
34,Negative,"SOP buzzer2 pak anies membosankan dan primitif, setiap kritikan selalu dijawab : pasti bkn org jkt, tolol, bego,dungu, dibaca isinya. Anehnya mereka mengaku kaum intelektual 🙄",sop buzzer pak anies membosankan dan primitif setiap kritikan selalu dijawab pasti bkn org jkt tolol bego dungu dibaca isinya anehnya mereka mengaku kaum intelektual 
35,Neutral,@Gerindra Insya Allah Anies Muhaimin Presiden dn Wakil Presiden RI 2024 - 2029..semoga @KPU_ID  jurdil aamiin ya Allah, gerindra insya allah anies muhaimin presiden dn wakil presiden ri semoga kpu_id jurdil aamiin ya allah
36,Negative,"@Chaves1305 Bani kopong emang sukanya goreng ginian.. Kalo cm bagi2 susu semua capres bisa... Tapi yang punya gagasan.. Berani ditanya apa saja itu cuma kaum kopong no 2 yang gak mampu. Prabowo nyumbang t milyar untuk Palestina yg mana cm 0,5 % dr kekayaanya. Anies? Coba cek dalam  forum", chaves bani kopong emang sukanya goreng ginian kalo cm bagi susu semua capres bisa tapi yang punya gagasan berani ditanya apa saja itu cuma kaum kopong no yang gak mampu prabowo nyumbang milyar untuk palestina yg mana cm dr kekayaanya anies coba cek dalam forum
37,Positive,@liputan6dotcom Pak Anies pasti menang sih, liputan dotcom pak anies pasti menang sih
38,Negative,"@BangPino__ menarik...kalo pada sadar dipertanyaan masnya di akhir² itu, sebenernya lebih memastikan IKN bakal jadi program mangkrak atau enggak karna dr bahasanya pak anies kan dia kayak ga akan lanjutin karna mau fokus ke isu yg lain dulu (pendidikan &amp  kesehatan)", bangpino__ menarik kalo pada sadar dipertanyaan masnya di akhir² itu sebenernya lebih memastikan ikn bakal jadi program mangkrak atau enggak karna dr bahasanya pak anies kan dia kayak ga akan lanjutin karna mau fokus ke isu yg lain dulu pendidikan amp kesehatan 
39,Positive,@tvOneNews Setuju dengan Pak Anies Baswedan, tvonenews setuju dengan pak anies baswedan
40,Neutral,"Demokrat soal Dukungan Relawan Mercy Perubahan Dukung Anies: Tak Perlu Ditanggapi, Mereka Mantan Tak Wakili Partai https://t.co/clUQu9y87r #TempoNasional",demokrat soal dukungan relawan mercy perubahan dukung anies tak perlu ditanggapi mereka mantan tak wakili partai temponasional
41,Negative,Kacau nih Anies mau nolak pembangunan IKN #Indonesia #Pilpres https://t.co/ToRyAXl3nQ,kacau nih anies mau nolak pembangunan ikn indonesia pilpres 
42,Positive,@liputan6dotcom Sehat dan sukses selalu Pak Anies Baswedan, liputan dotcom sehat dan sukses selalu pak anies baswedan
43,Positive,"@Naz_lira Anies bukan cuma pandai merangkai kata, tapi juga merangkai rakyat untuk hidup rukun dan damai, mewujudkan keadilan dan kesetaraan.", naz_lira anies bukan cuma pandai merangkai kata tapi juga merangkai rakyat untuk hidup rukun dan damai mewujudkan keadilan dan kesetaraan 
44,Positive,Ini salah satu bukti pak Anies peduli kepada rakyat...☝️🙂,ini salah satu bukti pak anies peduli kepada rakyat 
45,Neutral,@BANGSAygSUJUD @prabowo @alextham878 @Lembayung071 @Minietweets_ @mpoklela7 @Kimberley_2024 @P4P4B0W0_2024 @bengkeldodo @99propaganda @Chaves1305 @ajengcute16__ Dihati saya cuma ada pak anies, bangsaygsujud prabowo alextham lembayung minietweets_ mpoklela kimberley_ p w _ bengkeldodo propaganda chaves ajengcute __ dihati saya cuma ada pak anies
46,Positive,@tvOneNews Slalu keren sih pak Anies idenya, tvonenews slalu keren sih pak anies idenya
47,Positive,@tvOneNews Pemimpin hebat ya Pak Anies, tvonenews pemimpin hebat ya pak anies
48,Neutral,@BANGSAygSUJUD @prabowo @alextham878 @Lembayung071 @Minietweets_ @mpoklela7 @Kimberley_2024 @P4P4B0W0_2024 @bengkeldodo @99propaganda @Chaves1305 @ajengcute16__ Pak anies selalu dihati, bangsaygsujud prabowo alextham lembayung minietweets_ mpoklela kimberley_ p w _ bengkeldodo propaganda chaves ajengcute __ pak anies selalu dihati
49,Negative,"@Tita83079013 @ganjarpranowo @mohmahfudmd Mahfud makin lama, makin keliatan dungunya... Mahfud gabung saja kamu sama Anies", tita ganjarpranowo mohmahfudmd mahfud makin lama makin keliatan dungunya mahfud gabung saja kamu sama anies
50,Negative,@Chaves1305 Anies sebelum masuk politik udah mendirikan Indonesia mengajar. Jauh sebelum Prabowo sujud sukur sih., chaves anies sebelum masuk politik udah mendirikan indonesia mengajar jauh sebelum prabowo sujud sukur sih 
51,Neutral,@liputan6dotcom Semoga dilancarkan ya Pak Anies, liputan dotcom semoga dilancarkan ya pak anies
52,Neutral,Anies: anggaran IKN lebih baik dialokasikan ke sektor pendidikan https://t.co/FSnc4mpVOR,anies anggaran ikn lebih baik dialokasikan ke sektor pendidikan 
53,Positive,@tvOneNews Emang terbaik sih Pak Anies mah, tvonenews emang terbaik sih pak anies mah
54,Negative,"@ZiziShark @xandreanda @liputan6dotcom @aniesbaswedan @PDemokrat Yg ngaku2 pendiri itu kubu Moeldoko ya, silahkan aja diambil. Membantu @PDemokrat. JD impas ya.🤭 Siapa tau pak @jokowi menendang Moeldoko. Biar sekubu Ama kalian😂 kalo bisa Anas diambil jg sana, mantan koruptor dukung Anies biar rame satu kubu sama Abraham samad. CC @PDemokrat", zizishark xandreanda liputan dotcom aniesbaswedan pdemokrat yg ngaku pendiri itu kubu moeldoko ya silahkan aja diambil membantu pdemokrat jd impas ya siapa tau pak jokowi menendang moeldoko biar sekubu ama kalian kalo bisa anas diambil jg sana mantan koruptor dukung anies biar rame satu kubu sama abraham samad cc pdemokrat
55,Negative,@UmarSyadatHsb__ Orang ini macam iya aja Apa dah bayar Alphard ke p Anies buat ke yayasan yg perlu dana!!!, umarsyadathsb__ orang ini macam iya aja apa dah bayar alphard ke anies buat ke yayasan yg perlu dana 
56,Negative,"@BangPino__ Gua suka anies tapi gara gara buzzernya anies yg radak seglek kek dr @DokterTifa , gua jadinya gak b aja sama anies", bangpino__ gua suka anies tapi gara gara buzzernya anies yg radak seglek kek dr doktertifa gua jadinya gak aja sama anies
57,Positive,@liputan6dotcom Selalu dukung pak anies, liputan dotcom selalu dukung pak anies
58,Positive,@liputan6dotcom Sukses selalu Pak Anies, liputan dotcom sukses selalu pak anies
59,Neutral,"@Chaves1305 Anies dan ganjar kampanye mulai 28 November 2023 , kalau prabowo kampanye mulai 2 juni 2009 😁😁😁", chaves anies dan ganjar kampanye mulai november kalau prabowo kampanye mulai juni 
60,Neutral,@kompascom Mulai tertular Anies yg senggol kanan senggol kiri, kompascom mulai tertular anies yg senggol kanan senggol kiri
61,Positive,@CNNIndonesia Pk Anies sehat selalu ya, cnnindonesia pk anies sehat selalu ya
62,Negative,@BangPino__ Lha ya justru penanya yg ngeyel gini yg dibutuhin kan? Apalagi nama acaranya juga Desak Anies., bangpino__ lha ya justru penanya yg ngeyel gini yg dibutuhin kan apalagi nama acaranya juga desak anies 
63,Positive,@CNNIndonesia Pak Anies ganteng banget, cnnindonesia pak anies ganteng banget
64,Positive,@tvOneNews Pak Anies paham kebutuhan negara, tvonenews pak anies paham kebutuhan negara
65,Neutral,Pokoke NU ojo lali.coblos no1 pasangan Anies - Muhaimin (Amin),pokoke nu ojo lali coblos no pasangan anies muhaimin amin 
66,Positive,@aniesbaswedan @feryfarhati Keren banget pak Anies, aniesbaswedan feryfarhati keren banget pak anies
67,Neutral,@CNNIndonesia Pa Anies emg palingkeren, cnnindonesia pa anies emg palingkeren
68,Positive,Anies membangun Jakarta,anies membangun jakarta
69,Neutral,@MuhiqR @choymarkochoy @NohCeukenohhh @Malika6027 @Mayapada_1108 @stacitarpeta18 @AnKiiim_ @BarisanOpOsisi @doelpaten @Azri_Ardhani Pak Anies dulu seumur Gibran sudah jadi Dosen bahkan menjadi Rektor termuda ., muhiqr choymarkochoy nohceukenohhh malika mayapada_ stacitarpeta ankiiim_ barisanoposisi doelpaten azri_ardhani pak anies dulu seumur gibran sudah jadi dosen bahkan menjadi rektor termuda 
70,Positive,"𝗧𝗔𝗞 𝗣𝗘𝗥𝗟𝗨 𝗠𝗨𝗡𝗔𝗙𝗜𝗞 𝗨𝗡𝗧𝗨𝗞 𝗝𝗔𝗗𝗜 𝗣𝗥𝗘𝗦𝗜𝗗𝗘𝗡.  Mengapa Anies Baswedan mendapatkan respek yang begitu besar dari kalangan umat Kristiani..?, karena mental dan moral seperti Anies yang tidak dimiliki oleh Kandidat Calon Presiden lainnya.  Anies Baswedan… https://t.co/Iw7wphtoga",𝗧𝗔𝗞 𝗣𝗘𝗥𝗟𝗨 𝗠𝗨𝗡𝗔𝗙𝗜𝗞 𝗨𝗡𝗧𝗨𝗞 𝗝𝗔𝗗𝗜 𝗣𝗥𝗘𝗦𝗜𝗗𝗘𝗡 mengapa anies baswedan mendapatkan respek yang begitu besar dari kalangan umat kristiani karena mental dan moral seperti anies yang tidak dimiliki oleh kandidat calon presiden lainnya anies baswedan 
71,Negative,@BangPino__ Panik ga yah kubu 02 dengar Jawaban2 Anies😀  Bener2 Perubahan bgt yg dia bawa..., bangpino__ panik ga yah kubu dengar jawaban anies bener perubahan bgt yg dia bawa 
72,Negative,"@MuhadklyAcho bener sih pak anies, sdm itu lebih utama drpd pembangungan, buat apa infrasturtur klo sdmnya rendah? kyk kasus hilangnya besi got di underpass mampang jadinya, jd dia lebih berani invest di pendidikan drpd infrastruktur, omongan sederhana gni tp bersubstansi gini kk ada yg benci", muhadklyacho bener sih pak anies sdm itu lebih utama drpd pembangungan buat apa infrasturtur klo sdmnya rendah kyk kasus hilangnya besi got di underpass mampang jadinya jd dia lebih berani invest di pendidikan drpd infrastruktur omongan sederhana gni tp bersubstansi gini kk ada yg benci
73,Negative,"Contoh nyata dari argumen twit saya bulan lalu. Orang2 kayak aslinya memilih dgn gaya asal bukan ...""   Termasuk pilihan ke Anies, dosen paramadina yg terkenal dulu pemikiran liberal dan berpasangan dgn orang NU.   Mau gimana lagi.. wkwkk""",contoh nyata dari argumen twit saya bulan lalu orang kayak aslinya memilih dgn gaya asal bukan termasuk pilihan ke anies dosen paramadina yg terkenal dulu pemikiran liberal dan berpasangan dgn orang nu mau gimana lagi wkwkk 
74,Neutral,"@keuangannews_id Pak Anies bikin kaum hawa tergila akan ketampanannya ituu""", keuangannews_id pak anies bikin kaum hawa tergila akan ketampanannya ituu 
75,Negative,"Para Kepala Desa ternyata gak sefaham , mereka baru menyadari hanya dijadikan alat kepentingan politik. 😁🤪 orang Banten mah udah sepakat ke Anies aja katanya. https://t.co/rhVj55qq2l",para kepala desa ternyata gak sefaham mereka baru menyadari hanya dijadikan alat kepentingan politik orang banten mah udah sepakat ke anies aja katanya 
76,Negative,"@namakubayangan @ngurahsaka coba dengerin speech Anies soal 4 kriteria dia dlm mengambil kebijakan yg kriteria itu berurut dan tdk boleh dibalik, nnt kamu akan ngerti sendiri kenapa suatu kebijakan walaupun udah ada aturannya tetap ga disukai oleh Anies.", namakubayangan ngurahsaka coba dengerin speech anies soal kriteria dia dlm mengambil kebijakan yg kriteria itu berurut dan tdk boleh dibalik nnt kamu akan ngerti sendiri kenapa suatu kebijakan walaupun udah ada aturannya tetap ga disukai oleh anies 
77,Neutral,"@KompasTV Setiap anggaran itu kan ada porsinya masing masing , ada untuk kesehatan, pendidikan, infrastruktur, dll. Hidup itu kompleks pak Anies TDK melulu ngurusin satu hal. Di rumah tangga aja ada anggaran nya masing2,untuk biaya sekolah, kebutuhan pangan, cicilan dll.", kompastv setiap anggaran itu kan ada porsinya masing masing ada untuk kesehatan pendidikan infrastruktur dll hidup itu kompleks pak anies tdk melulu ngurusin satu hal di rumah tangga aja ada anggaran nya masing untuk biaya sekolah kebutuhan pangan cicilan dll 
78,Negative,@liputan6dotcom Pak Anies sibuk bgt ya, liputan dotcom pak anies sibuk bgt ya
79,Neutral,@andre_rosiade Pilihanku tetap pak anies, andre_rosiade pilihanku tetap pak anies
80,Negative,"Padahal singkat aja, saya ga suka Anies Baswedan gitu.",padahal singkat aja saya ga suka anies baswedan gitu 
81,Negative,@aniesmania Yg cerdas pasti Anies ...yg bodo dan tolol milih Gemlong yg dijual 1000 datat 2, aniesmania yg cerdas pasti anies yg bodo dan tolol milih gemlong yg dijual datat 
82,Positive,@liputan6dotcom Sehat selalu Pak Anies Baswedan, liputan dotcom sehat selalu pak anies baswedan
83,Negative,"@msaid_didu Hitung²an mereka pak haji klw seandainya pak @aniesbaswedan kalah dipilpres ini,mereka harap anies jgn sampai ikut pilgub DKI lagi agar tdk jd lawan berat gibran dipilpres 2029", msaid_didu hitung²an mereka pak haji klw seandainya pak aniesbaswedan kalah dipilpres ini mereka harap anies jgn sampai ikut pilgub dki lagi agar tdk jd lawan berat gibran dipilpres 
84,Neutral,@Metro_TV @aniesbaswedan Langkah-langkah Pak Anies menciptakan dasar yang kuat untuk perubahan positif., metro_tv aniesbaswedan langkah langkah pak anies menciptakan dasar yang kuat untuk perubahan positif 
85,Neutral,"anies sebut manfaat IKN cuma buat aparat, bukan rakyat. Emang sok tau lo nis https://t.co/81Hbo8FRrT",anies sebut manfaat ikn cuma buat aparat bukan rakyat emang sok tau lo nis 
86,Neutral,@DPP_PKB @aniesbaswedan @cakimiNOW Hanya pak Anies yang membawa ketenangan di Dunia ini, dpp_pkb aniesbaswedan cakiminow hanya pak anies yang membawa ketenangan di dunia ini
87,Neutral,"@Chaves1305 Karya anies tak sebutkan 4 aja ya klo kebanyakan situ bisa diare: JIS, Formula E, Eco Park &amp  Jaklingko serta meng-optimalkan sarpras di Pulau Sebira (pulau yg tdk pernah didatangi gub. DKI sblmnya kurleb selama 30th). 😊", chaves karya anies tak sebutkan aja ya klo kebanyakan situ bisa diare jis formula eco park amp jaklingko serta meng optimalkan sarpras di pulau sebira pulau yg tdk pernah didatangi gub dki sblmnya kurleb selama th 
88,Neutral,"anies sebut manfaat IKN cuma buat aparat, bukan rakyat. Emang sok tau lo nis https://t.co/mnTwCEceAp",anies sebut manfaat ikn cuma buat aparat bukan rakyat emang sok tau lo nis 
89,Positive,@savicali Orang Aceh cinta Anies., savicali orang aceh cinta anies 
90,Neutral,"@Metro_TV @aniesbaswedan Diskusi pak Anies memberikan pemahaman lebih dalam tentang dampak stunting, capres terbaik", metro_tv aniesbaswedan diskusi pak anies memberikan pemahaman lebih dalam tentang dampak stunting capres terbaik
91,Neutral,"anies sebut manfaat IKN cuma buat aparat, bukan rakyat. Emang sok tau lo nis https://t.co/YnnsvaLT70",anies sebut manfaat ikn cuma buat aparat bukan rakyat emang sok tau lo nis 
92,Positive,@kompascom Senyuman pak anies bikin kaum hawa terpesona, kompascom senyuman pak anies bikin kaum hawa terpesona
93,Negative,"@Abidin29Zainal @kicauJelata @elisa_jkt @aniesbaswedan 2. Dalam berbagai kesempatan, kubu anies selalu tegas tolak IKN dan tetap mempertahankan Jakarta sebagai ibukota. Kenapa malah nyetujuin draft RUU DKJ ini yang jelas2 mau mindahin ibu kota ke IKN? Ayolah, jangan jilat Anies terus, semua politisi hanya sampah.", abidin zainal kicaujelata elisa_jkt aniesbaswedan dalam berbagai kesempatan kubu anies selalu tegas tolak ikn dan tetap mempertahankan jakarta sebagai ibukota kenapa malah nyetujuin draft ruu dkj ini yang jelas mau mindahin ibu kota ke ikn ayolah jangan jilat anies terus semua politisi hanya sampah 
94,Neutral,"anies sebut manfaat IKN cuma buat aparat, bukan rakyat. Emang sok tau lo nis https://t.co/mAGaB2JGCm",anies sebut manfaat ikn cuma buat aparat bukan rakyat emang sok tau lo nis 
95,Neutral,@savicali Jadi presiden anda Anies tah? 😁😁, savicali jadi presiden anda anies tah 
96,Neutral,@Metro_TV @aniesbaswedan langkah-langkah konkret dari pak Anies mencerminkan tanggung jawab sosial yg tinggi lanjutkan pak, metro_tv aniesbaswedan langkah langkah konkret dari pak anies mencerminkan tanggung jawab sosial yg tinggi lanjutkan pak
97,Neutral,"anies sebut manfaat IKN cuma buat aparat, bukan rakyat. Emang sok tau lo nis https://t.co/XLi9r7LUDZ",anies sebut manfaat ikn cuma buat aparat bukan rakyat emang sok tau lo nis 
98,Neutral,@DPP_PKB @aniesbaswedan @cakimiNOW Pak Anies menuntun kami kejalan yang benar, dpp_pkb aniesbaswedan cakiminow pak anies menuntun kami kejalan yang benar
99,Negative,"@tvOneNews Pak Anies betul.  Ada ibu punya anak butuh makan bergizi, butuh sekolah butuh bayar cicilan. Eh ini mau nambah cicilan rumah baru sementara duitnya gak cukup.", tvonenews pak anies betul ada ibu punya anak butuh makan bergizi butuh sekolah butuh bayar cicilan eh ini mau nambah cicilan rumah baru sementara duitnya gak cukup 
100,Neutral,"anies sebut manfaat IKN cuma buat aparat, bukan rakyat. Emang sok tau lo nis https://t.co/c2tp8EynEs",anies sebut manfaat ikn cuma buat aparat bukan rakyat emang sok tau lo nis 
101,Neutral,"Demokrat soa Dukungan Relawan Mercy Perubahan Dukung Anies: Tak Perlu Ditanggapi, Mereka Mantan Tak Wakili Partai https://t.co/iGVD3Hiwh7 #TempoNasional",demokrat soa dukungan relawan mercy perubahan dukung anies tak perlu ditanggapi mereka mantan tak wakili partai temponasional
102,Positive,@CNNIndonesia Dukung pak Anies selalu, cnnindonesia dukung pak anies selalu
103,Negative,"@kangdede78 biasa bully anies selalu aman karena anies mmg ga peduli, tapi kali ini ganjar mahfud dan pdip, kita tunggu orang ini kepeleset jari, dan kita lihat kayak apa kalau bu mega sudah marah...", kangdede biasa bully anies selalu aman karena anies mmg ga peduli tapi kali ini ganjar mahfud dan pdip kita tunggu orang ini kepeleset jari dan kita lihat kayak apa kalau bu mega sudah marah 
104,Positive,@liputan6dotcom Pak anies pemimpin terbaik, liputan dotcom pak anies pemimpin terbaik
105,Positive,"@KompasTV Buat pendukung Anies Rasyid Baswedan, tak usah ditanggapi... fokus saja untuk kemenangan pasangan nomor urut 1 Insya Allah di periode 2024-2029 nanti Insya Allah Presiden kita Bapak Anies Rasyid Baswedan  #AminKanSajaDulu", kompastv buat pendukung anies rasyid baswedan tak usah ditanggapi fokus saja untuk kemenangan pasangan nomor urut insya allah di periode nanti insya allah presiden kita bapak anies rasyid baswedan aminkansajadulu
106,Positive,@KompasTV Emang paling bener pilih anies, kompastv emang paling bener pilih anies
107,Neutral,@Metro_TV @aniesbaswedan Bismillah pak Anies akan mensejahterakan rakyatnya ketika menjadi presiden nanti, metro_tv aniesbaswedan bismillah pak anies akan mensejahterakan rakyatnya ketika menjadi presiden nanti
108,Neutral,"Me not following, not posting bad words to him but ... beliau pendukung Anies yang anggota WEF (logika tak nyambung) https://t.co/PW9VIgoreg",me not following not posting bad words to him but beliau pendukung anies yang anggota wef logika tak nyambung 
109,Positive,@tvOneNews Selalu dukung pak anies, tvonenews selalu dukung pak anies
110,Neutral,@liputan6dotcom Pak anies aku pada mu pakk, liputan dotcom pak anies aku pada mu pakk
111,Positive,"@Metro_TV @aniesbaswedan Mantap pak Anies inovatif bgt dalam memberikan gagasannya, yakin pasti menang", metro_tv aniesbaswedan mantap pak anies inovatif bgt dalam memberikan gagasannya yakin pasti menang
